City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
nova olinda do norte,-3,-59,27,85,16,1,BR,1611084268
campbell river,50,-125,5,87,90,2,CA,1611084268
byron bay,-28,153,23,73,75,5,AU,1611084268
imeni poliny osipenko,52,136,-32,81,0,2,RU,1611084269
kirgiz-miyaki,53,54,-15,94,98,2,RU,1611084269
fort frances,48,-93,-16,66,75,3,CA,1611084269
davila,18,120,24,78,20,2,PH,1611084269
farkhor,37,69,7,81,40,2,TJ,1611084269
tiznit,29,-9,13,49,15,1,MA,1611084269
cordoba,-31,-64,32,30,0,4,AR,1611084269
bogorodskoye,56,37,-14,95,85,2,RU,1611084269
vestmanna,62,-7,2,87,20,7,FO,1611084269
hofn,64,-15,2,77,0,10,IS,1611084269
dicabisagan,17,122,24,88,100,5,PH,1611084269
bujumbura,-3,29,23,69,100,1,BI,1611084269
marawi,7,124,23,97,100,1,PH,1611084270
thinadhoo,0,72,27,65,0,1,MV,1611084270
labuhan,-6,112,24,90,100,2,ID,1611084270
viedma,-40,-62,32,25,44,7,AR,1611084270
stykkisholmur,65,-22,0,94,92,13,IS,1611084270
kulhudhuffushi,6,73,27,65,0,2,MV,1611084071
fortuna foothills,32,-114,19,32,75,5,US,1611084270
panama city,8,-79,32,58,20,7,PA,1611084061
aiquile,-18,-65,21,43,31,5,BO,1611084270
penzance,50,-5,11,100,90,13,GB,1611084270
makakilo city,21,-158,24,83,20,2,US,1611084270
constitucion,-35,-72,20,63,12,3,CL,1611084056
pueblo,38,-104,1,69,20,4,US,1611084271
ngaoundere,7,13,19,24,0,2,CM,1611084271
les cayes,18,-73,27,66,100,3,HT,1611084271
kitob,39,66,9,53,0,2,UZ,1611084271
